FPrate,Sensivity,Precision,f1_score,Threshold
0.48099,0.54800,0.82049,0.65711,0.68978
0.48177,0.54821,0.82030,0.65721,0.68968
0.48256,0.54848,0.82014,0.65735,0.68957
0.48335,0.54869,0.81995,0.65744,0.68948
0.48414,0.54892,0.81977,0.65755,0.68937
0.48492,0.54912,0.81959,0.65763,0.68928
0.48571,0.54934,0.81941,0.65773,0.68919
0.48650,0.54954,0.81922,0.65781,0.68910
0.48729,0.54976,0.81904,0.65792,0.68900
0.48807,0.54997,0.81886,0.65801,0.68891
0.48886,0.55018,0.81868,0.65810,0.68882
0.48965,0.55041,0.81850,0.65820,0.68872
0.49044,0.55060,0.81831,0.65828,0.68863
0.49122,0.55084,0.81814,0.65839,0.68853
0.49201,0.55103,0.81795,0.65847,0.68844
0.49280,0.55126,0.81777,0.65857,0.68834
0.49359,0.55145,0.81759,0.65865,0.68825
0.49437,0.55165,0.81741,0.65874,0.68816
0.49516,0.55187,0.81723,0.65884,0.68806
0.49595,0.55207,0.81704,0.65892,0.68796
0.49674,0.55231,0.81687,0.65903,0.68786
0.49752,0.55250,0.81669,0.65911,0.68777
0.49831,0.55273,0.81651,0.65921,0.68766
0.49910,0.55292,0.81633,0.65929,0.68757
0.49989,0.55312,0.81614,0.65937,0.68748
0.50068,0.55334,0.81597,0.65947,0.68738
0.50146,0.55352,0.81578,0.65953,0.68729
0.50225,0.55375,0.81561,0.65964,0.68719
0.50304,0.55392,0.81542,0.65970,0.68710
0.50383,0.55413,0.81524,0.65979,0.68700
0.50461,0.55432,0.81506,0.65987,0.68691
0.50540,0.55451,0.81487,0.65994,0.68682
0.50619,0.55474,0.81470,0.66005,0.68672
0.50698,0.55494,0.81452,0.66013,0.68663
0.50776,0.55519,0.81435,0.66025,0.68652
0.50855,0.55537,0.81417,0.66032,0.68644
0.50934,0.55561,0.81400,0.66043,0.68633
0.51013,0.55580,0.81382,0.66051,0.68624
0.51091,0.55601,0.81364,0.66060,0.68615
0.51170,0.55620,0.81346,0.66067,0.68606
0.51249,0.55639,0.81328,0.66074,0.68597
0.51328,0.55659,0.81310,0.66083,0.68587
0.51406,0.55678,0.81292,0.66090,0.68579
0.51485,0.55700,0.81275,0.66100,0.68568
0.51564,0.55720,0.81257,0.66108,0.68559
0.51643,0.55742,0.81239,0.66118,0.68549
0.51721,0.55760,0.81221,0.66124,0.68540
0.51800,0.55779,0.81203,0.66131,0.68531
0.51879,0.55799,0.81185,0.66140,0.68520
0.51958,0.55818,0.81168,0.66148,0.68511
0.52036,0.55840,0.81150,0.66157,0.68501
0.52115,0.55858,0.81132,0.66164,0.68491
0.52194,0.55879,0.81115,0.66172,0.68481
0.52273,0.55897,0.81097,0.66179,0.68472
0.52351,0.55916,0.81079,0.66186,0.68463
0.52430,0.55937,0.81061,0.66195,0.68453
0.52509,0.55957,0.81044,0.66203,0.68443
0.52588,0.55981,0.81027,0.66215,0.68432
0.52667,0.56001,0.81010,0.66223,0.68422
0.52745,0.56025,0.80993,0.66234,0.68411
0.52824,0.56044,0.80976,0.66242,0.68402
0.52903,0.56064,0.80958,0.66249,0.68392
0.52982,0.56083,0.80941,0.66257,0.68383
0.53060,0.56101,0.80923,0.66264,0.68374
0.53139,0.56121,0.80905,0.66272,0.68363
0.53218,0.56139,0.80887,0.66278,0.68354
0.53297,0.56159,0.80870,0.66287,0.68344
0.53375,0.56178,0.80852,0.66294,0.68334
0.53454,0.56196,0.80835,0.66300,0.68325
0.53533,0.56217,0.80817,0.66309,0.68314
0.53612,0.56235,0.80800,0.66316,0.68305
0.53690,0.56256,0.80783,0.66324,0.68295
0.53769,0.56274,0.80765,0.66331,0.68286
0.53848,0.56294,0.80748,0.66339,0.68276
0.53927,0.56312,0.80730,0.66346,0.68266
0.54005,0.56332,0.80713,0.66354,0.68256
0.54084,0.56351,0.80695,0.66361,0.68247
0.54163,0.56369,0.80678,0.66367,0.68238
0.54242,0.56389,0.80661,0.66376,0.68228
0.54320,0.56407,0.80643,0.66382,0.68218
0.54399,0.56425,0.80626,0.66389,0.68209
0.54478,0.56443,0.80608,0.66395,0.68200
0.54557,0.56463,0.80591,0.66403,0.68190
0.54635,0.56481,0.80573,0.66410,0.68181
0.54714,0.56499,0.80556,0.66416,0.68172
0.54793,0.56518,0.80539,0.66423,0.68162
0.54872,0.56536,0.80521,0.66430,0.68153
0.54950,0.56555,0.80504,0.66437,0.68143
0.55029,0.56573,0.80486,0.66443,0.68134
0.55108,0.56592,0.80469,0.66451,0.68124
0.55187,0.56609,0.80451,0.66456,0.68115
0.55266,0.56626,0.80434,0.66462,0.68106
0.55344,0.56644,0.80416,0.66469,0.68097
0.55423,0.56661,0.80399,0.66474,0.68088
0.55502,0.56679,0.80381,0.66481,0.68078
0.55581,0.56695,0.80363,0.66486,0.68069
0.55659,0.56712,0.80346,0.66492,0.68060
0.55738,0.56729,0.80328,0.66497,0.68051
0.55817,0.56745,0.80310,0.66502,0.68042
0.55896,0.56763,0.80293,0.66508,0.68033
0.55974,0.56779,0.80275,0.66513,0.68024
0.56053,0.56796,0.80258,0.66519,0.68015
0.56132,0.56813,0.80240,0.66524,0.68006
